Currently evaluating function Schwefel
Best so far: 66.167
Best so far: 18.6546
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 4.53987
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
Best so far: 1.18736
